,0
0,0.4833
1,0.4747
2,0.4955
3,0.4863
4,0.4979
5,0.4743
6,0.4562
7,0.4492
8,0.4763
9,0.4929
10,0.4557
11,0.4983
12,0.4543
13,0.4454
14,0.4688
15,0.4578
16,0.4445
17,0.4826
18,0.4919
19,0.4977
20,0.4675
21,0.4794
22,0.4474
23,0.4581
24,0.4878
25,0.4308
26,0.4906
27,0.4763
28,0.4809
29,0.4694
30,0.4478
31,0.431
32,0.4884
33,0.4454
34,0.4678
35,0.4394
36,0.4701
37,0.4446
38,0.4702
39,0.4909
40,0.4702
41,0.4499
42,0.4949
43,0.462
44,0.4933
45,0.4824
46,0.4499
47,0.4668
48,0.4744
49,0.466
50,0.423
51,0.4654
52,0.4397
53,0.4744
54,0.5231
55,0.4679
56,0.5017
57,0.464
58,0.4868
59,0.4333
60,0.4706
61,0.4631
62,0.4763
63,0.4896
64,0.504
65,0.4478
66,0.4957
67,0.4295
68,0.4881
69,0.4974
70,0.4378
71,0.4954
72,0.474
73,0.5188
74,0.4936
75,0.4521
76,0.4756
77,0.4526
78,0.5162
79,0.5067
80,0.4962
81,0.4935
82,0.4932
83,0.4721
84,0.4499
85,0.4463
86,0.4684
87,0.4639
88,0.5052
89,0.4627
