,0
0,0.4521
1,0.5066
2,0.4536
3,0.4377
4,0.448
5,0.4709
6,0.4858
7,0.4456
8,0.4678
9,0.4822
10,0.4791
11,0.467
12,0.4166
13,0.4347
14,0.464
15,0.4468
16,0.4655
17,0.4593
18,0.4476
19,0.489
20,0.4602
21,0.4616
22,0.4499
23,0.5084
24,0.4339
25,0.4359
26,0.5327
27,0.4691
28,0.4483
29,0.453
30,0.4814
31,0.4793
32,0.4335
33,0.4589
34,0.4122
35,0.4244
36,0.4414
37,0.4458
38,0.4631
39,0.4678
40,0.4651
41,0.4514
42,0.4659
43,0.4681
44,0.4902
45,0.4695
46,0.4421
47,0.4815
48,0.4379
49,0.4771
50,0.4438
51,0.4793
52,0.4534
53,0.4554
54,0.4395
55,0.4636
56,0.4634
57,0.4635
58,0.4709
59,0.4749
60,0.4624
61,0.4531
62,0.4249
63,0.4988
64,0.5044
65,0.4436
66,0.4543
67,0.4693
68,0.4394
69,0.4751
70,0.455
71,0.4159
72,0.4748
73,0.5003
74,0.4786
75,0.4103
76,0.4358
77,0.4614
78,0.4676
79,0.4686
80,0.4693
81,0.4791
82,0.4823
83,0.4849
84,0.502
85,0.4312
86,0.502
87,0.4447
88,0.4503
89,0.5076
