,0
0,0.4671
1,0.4816
2,0.4708
3,0.4544
4,0.4389
5,0.5199
6,0.4739
7,0.4916
8,0.436
9,0.4827
10,0.4719
11,0.456
12,0.4766
13,0.4628
14,0.487
15,0.4869
16,0.4788
17,0.4481
18,0.4419
19,0.4582
20,0.4706
21,0.4781
22,0.4455
23,0.4895
24,0.4437
25,0.4763
26,0.4539
27,0.4889
28,0.4849
29,0.4835
30,0.461
31,0.4368
32,0.4722
33,0.4817
34,0.4548
35,0.4677
36,0.4911
37,0.5309
38,0.4571
39,0.4329
40,0.4787
41,0.459
42,0.4751
43,0.4339
44,0.473
45,0.4724
46,0.4917
47,0.4897
48,0.4614
49,0.4686
50,0.5217
51,0.4546
52,0.4871
53,0.4664
54,0.5142
55,0.4764
56,0.4428
57,0.4299
58,0.4752
59,0.4445
60,0.4973
61,0.43
62,0.4298
63,0.442
64,0.4978
65,0.4764
66,0.463
67,0.4524
68,0.465
69,0.4449
70,0.4478
71,0.4571
72,0.4546
73,0.4885
74,0.4647
75,0.4259
76,0.481
77,0.4035
78,0.4954
79,0.4789
80,0.4464
81,0.4819
82,0.502
83,0.4587
84,0.4627
85,0.4433
86,0.4983
87,0.4711
88,0.47
89,0.4956
